player,outcome,x,y,role
I. Perišić,Miss,93,53,Midfielder
M. Brozović,Miss,90,44,Midfielder
M. Badelj,Miss,91,44,Midfielder
I. Perišić,Miss,98,66,Midfielder
E. Mor,Miss,73,70,Forward
Sergio Ramos,Miss,92,58,Defender
Álvaro Morata,Miss,93,49,Forward
Álvaro Morata,Miss,90,28,Forward
Sergio Busquets,Miss,80,57,Midfielder
Nolito,Miss,74,30,Forward
Iniesta,Miss,64,62,Midfielder
Jordi Alba,Miss,88,28,Defender
Sergio Ramos,Miss,63,38,Defender
T. Necid,Miss,84,66,Forward
Nolito,Miss,89,36,Forward
Álvaro Morata,Miss,94,50,Forward
R. Hubník,Miss,91,48,Defender
Iniesta,Miss,80,33,Midfielder
David Silva,Miss,81,71,Midfielder
David Silva,Miss,83,54,Midfielder
Aduriz,Miss,94,50,Forward
Piqué,GOAL,96,53,Defender
V. Darida,Miss,91,35,Midfielder
J. Plašil,Miss,82,36,Midfielder
M. Badelj,Miss,73,44,Midfielder
M. Badelj,Miss,73,54,Midfielder
M. Mandžukić,Miss,94,61,Forward
I. Perišić,Miss,89,45,Midfielder
I. Rakitić,Miss,87,59,Midfielder
I. Strinić,Miss,78,26,Defender
M. Mandžukić,Miss,77,57,Forward
I. Rakitić,Miss,90,60,Midfielder
I. Perišić,GOAL,86,24,Midfielder
D. Vida,Miss,88,44,Defender
D. Lafata,Miss,70,29,Forward
I. Rakitić,Miss,79,56,Midfielder
P. Kadeřábek,Miss,83,69,Defender
L. Krejčí,Miss,91,45,Forward
I. Rakitić,GOAL,84,55,Midfielder
M. Mandžukić,Miss,88,60,Forward
M. Škoda,GOAL,88,53,Forward
M. Brozović,Miss,90,56,Midfielder
D. Vida,Miss,93,36,Defender
M. Kovačić,Miss,78,31,Midfielder
M. Škoda,Miss,82,53,Forward
Álvaro Morata,Miss,78,28,Forward
Piqué,Miss,94,53,Defender
Iniesta,Miss,80,61,Midfielder
H. Çalhanoğlu,Miss,78,38,Midfielder
Nolito,Miss,77,34,Forward
Nolito,Miss,88,53,Forward
Álvaro Morata,GOAL,91,48,Forward
Nolito,GOAL,92,51,Forward
A. Turan,Miss,74,64,Midfielder
David Silva,Miss,88,44,Midfielder
Piqué,Miss,73,64,Defender
Álvaro Morata,Miss,94,51,Forward
Álvaro Morata,GOAL,94,51,Forward
Álvaro Morata,Miss,95,44,Forward
B. Yılmaz,Miss,89,61,Forward
A. Turan,Miss,87,35,Midfielder
David Silva,Miss,92,62,Midfielder
David Silva,Miss,88,61,Midfielder
Bruno,Miss,75,64,Midfielder
Piqué,Miss,99,38,Defender
Y. Mallı,Miss,84,28,Midfielder
O. Şahan,Miss,90,33,Midfielder
O. Şahan,Miss,98,26,Midfielder
Bruno,Miss,75,36,Midfielder
M. Rog,Miss,70,66,Midfielder
D. Srna,Miss,88,69,Defender
Álvaro Morata,GOAL,98,48,Forward
Nolito,Miss,88,38,Forward
N. Kalinić,Miss,71,57,Forward
I. Perišić,Miss,86,43,Midfielder
I. Rakitić,Miss,84,72,Midfielder
David Silva,Miss,82,64,Midfielder
Iniesta,Miss,71,76,Midfielder
David Silva,Miss,79,21,Midfielder
Nolito,Miss,85,56,Forward
M. Badelj,Miss,80,38,Midfielder
I. Perišić,Miss,78,32,Midfielder
I. Perišić,Miss,89,35,Midfielder
Sergio Ramos,Miss,88,71,Defender
N. Kalinić,GOAL,94,45,Forward
Juanfran,Miss,87,66,Defender
Álvaro Morata,Miss,93,46,Forward
T. Jedvaj,Miss,86,40,Defender
M. Pjaca,Miss,87,59,Forward
Jordi Alba,Miss,86,33,Defender
Sergio Ramos,Miss,92,43,Defender
Sergio Ramos,Miss,89,50,Defender
Aduriz,Miss,82,48,Forward
I. Perišić,GOAL,91,32,Midfielder
V. Darida,Miss,92,67,Midfielder
B. Yılmaz,GOAL,92,53,Forward
V. Darida,Miss,77,66,Midfielder
T. Sivok,Miss,94,43,Defender
V. Darida,Miss,76,27,Midfielder
P. Kadeřábek,Miss,96,61,Defender
T. Necid,Miss,91,34,Forward
V. Şen,Miss,75,43,Midfielder
T. Necid,Miss,89,42,Forward
J. Plašil,Miss,73,61,Midfielder
T. Sivok,Miss,89,33,Defender
E. Mor,Miss,87,40,Forward
V. Darida,Miss,84,64,Midfielder
T. Necid,Miss,75,71,Forward
A. Turan,Miss,89,43,Midfielder
O. Tufan,GOAL,92,61,Midfielder
A. Turan,Miss,92,46,Midfielder
T. Sivok,Miss,92,59,Defender
V. Darida,Miss,75,45,Midfielder
O. Şahan,Miss,91,58,Midfielder
C. Tosun,Miss,81,48,Forward
J. Hendrick,Miss,83,45,Midfielder
R. Brady,Miss,77,42,Midfielder
J. Hendrick,Miss,73,49,Midfielder
Z. Ibrahimović,Miss,91,63,Forward
J. Hendrick,Miss,72,56,Midfielder
W. Hoolahan,GOAL,90,33,Midfielder
E. Forsberg,Miss,90,39,Midfielder
M. Olsson,Miss,70,50,Defender
Z. Ibrahimović,Miss,91,56,Forward
J. McClean,Miss,89,32,Midfielder
J. Hendrick,Miss,94,72,Midfielder
S. Long,Miss,89,48,Forward
Eder,Miss,79,60,Forward
R. Nainggolan,Miss,72,53,Midfielder
M. Fellaini,Miss,89,50,Midfielder
R. Nainggolan,Miss,73,45,Midfielder
L. Ciman,Miss,77,65,Defender
G. Pellè,Miss,78,31,Forward
E. Giaccherini,GOAL,92,43,Midfielder
A. Candreva,Miss,80,72,Midfielder
G. Pellè,Miss,91,47,Forward
A. Witsel,Miss,77,41,Midfielder
K. De Bruyne,Miss,73,63,Midfielder
K. De Bruyne,Miss,89,37,Midfielder
R. Lukaku,Miss,90,47,Forward
G. Pellè,Miss,89,50,Forward
R. Lukaku,Miss,83,34,Forward
Eder,Miss,82,44,Forward
G. Pellè,Miss,92,48,Forward
R. Nainggolan,Miss,72,52,Midfielder
E. Hazard,Miss,83,76,Forward
E. Hazard,Miss,80,47,Forward
D. Mertens,Miss,68,43,Forward
E. Giaccherini,Miss,80,51,Midfielder
A. Witsel,Miss,69,35,Midfielder
D. Mertens,Miss,73,40,Forward
K. De Bruyne,Miss,69,34,Midfielder
D. Mertens,Miss,81,26,Forward
D. Origi,Miss,91,44,Forward
C. Immobile,Miss,77,39,Forward
G. Pellè,GOAL,90,46,Forward
A. Florenzi,Miss,88,33,Midfielder
Eder,Miss,71,65,Forward
J. Guidetti,Miss,70,55,Forward
G. Pellè,Miss,86,65,Forward
A. Candreva,Miss,78,71,Midfielder
J. Durmaz,Miss,75,44,Midfielder
M. Parolo,Miss,90,65,Midfielder
Eder,GOAL,85,48,Forward
Z. Ibrahimović,Miss,68,39,Forward
A. Candreva,Miss,92,65,Midfielder
T. Alderweireld,Miss,94,46,Defender
E. Hazard,Miss,88,37,Forward
K. De Bruyne,Miss,74,43,Midfielder
T. Meunier,Miss,85,67,Defender
C. Clark,Miss,89,42,Defender
T. Alderweireld,Miss,90,55,Defender
A. Witsel,Miss,73,65,Midfielder
T. Alderweireld,Miss,91,61,Defender
J. Vertonghen,Miss,91,37,Defender
R. Lukaku,GOAL,83,50,Forward
G. Whelan,Miss,77,43,Midfielder
A. Witsel,Miss,73,32,Midfielder
R. Brady,Miss,86,27,Midfielder
A. Witsel,GOAL,91,48,Midfielder
R. Brady,Miss,71,32,Midfielder
D. Mertens,Miss,76,50,Forward
K. De Bruyne,Miss,76,48,Midfielder
R. Lukaku,GOAL,88,38,Forward
D. Mertens,Miss,79,56,Forward
J. McClean,Miss,87,43,Midfielder
D. Mertens,Miss,83,47,Forward
R. Brady,Miss,81,63,Midfielder
K. De Bruyne,Miss,73,59,Midfielder
S. Ward,Miss,89,37,Defender
J. Hendrick,Miss,72,32,Midfielder
A. McGeady,Miss,88,50,Midfielder
J. Hendrick,Miss,79,60,Midfielder
D. Murphy,Miss,88,51,Forward
S. Duffy,Miss,97,41,Defender
C. Immobile,Miss,72,36,Forward
S. Zaza,Miss,88,45,Forward
R. Brady,Miss,70,56,Midfielder
S. Coleman,Miss,86,69,Defender
J. Hendrick,Miss,83,64,Midfielder
S. Duffy,Miss,70,52,Defender
J. McClean,Miss,76,29,Midfielder
A. McGeady,Miss,77,33,Midfielder
L. Insigne,Miss,75,47,Forward
A. Florenzi,Miss,81,68,Midfielder
A. McGeady,Miss,86,60,Midfielder
W. Hoolahan,Miss,90,62,Midfielder
S. El Shaarawy,Miss,77,39,Forward
R. Brady,GOAL,93,48,Midfielder
A. Witsel,Miss,77,38,Midfielder
M. Berg,Miss,91,48,Forward
R. Lukaku,Miss,81,25,Forward
A. Witsel,Miss,92,52,Midfielder
E. Hazard,Miss,75,42,Forward
Z. Ibrahimović,Miss,86,33,Forward
S. Larsson,Miss,77,31,Midfielder
K. De Bruyne,Miss,75,51,Midfielder
Z. Ibrahimović,Miss,80,57,Forward
R. Nainggolan,Miss,80,56,Midfielder
T. Meunier,Miss,90,47,Defender
Z. Ibrahimović,Miss,90,54,Forward
A. Ekdal,Miss,83,67,Midfielder
E. Hazard,Miss,78,29,Forward
K. De Bruyne,Miss,78,30,Midfielder
R. Nainggolan,Miss,71,70,Midfielder
R. Lukaku,Miss,90,46,Forward
K. De Bruyne,Miss,75,14,Midfielder
E. Hazard,Miss,74,48,Forward
E. Forsberg,Miss,82,37,Midfielder
R. Lukaku,Miss,89,69,Forward
R. Lukaku,Miss,87,51,Forward
D. Mertens,Miss,86,33,Forward
A. Granqvist,Miss,89,57,Defender
R. Nainggolan,GOAL,74,65,Midfielder
Z. Ibrahimović,Miss,87,43,Forward
K. De Bruyne,Miss,79,51,Midfielder
C. Benteke,Miss,90,45,Forward
D. Mertens,Miss,74,45,Forward
D. Alaba,Miss,74,34,Defender
L. Kleinheisler,Miss,76,36,Midfielder
D. Alaba,Miss,89,40,Defender
L. Kleinheisler,Miss,75,47,Midfielder
Á. Szalai,Miss,78,47,Forward
Z. Gera,Miss,75,65,Midfielder
Á. Szalai,Miss,91,55,Forward
Z. Junuzović,Miss,81,61,Midfielder
M. Hinteregger,Miss,94,63,Defender
M. Harnik,Miss,90,69,Forward
