player,outcome,x,y,role
R. Shawcross,Miss,89,53,Defender
Bellerín,Miss,83,46,Defender
G. Xhaka,Miss,74,70,Midfielder
A. Oxlade-Chamberlain,Miss,81,76,Midfielder
G. Xhaka,Miss,73,60,Midfielder
Jesé Rodríguez,Miss,81,28,Forward
Jesé Rodríguez,GOAL,88,34,Forward
Bellerín,Miss,89,27,Defender
D. Welbeck,Miss,90,41,Forward
A. Ramsey,Miss,89,56,Midfielder
S. Berahino,Miss,90,41,Forward
D. Fletcher,Miss,76,52,Midfielder
E. Choupo-Moting,Miss,93,61,Forward
D. Welbeck,Miss,93,37,Forward
A. Ramsey,Miss,82,65,Midfielder
A. Ramsey,Miss,86,40,Midfielder
M. Özil,Miss,82,51,Midfielder
M. Özil,Miss,77,30,Midfielder
A. Oxlade-Chamberlain,Miss,79,68,Midfielder
S. Mustafi,Miss,93,33,Defender
O. Giroud,Miss,88,52,Forward
E. Choupo-Moting,Miss,87,79,Forward
J. Ayew,Miss,96,28,Forward
R. Lukaku,Miss,88,30,Forward
Roque Mesa,Miss,73,69,Midfielder
M. Rashford,Miss,77,30,Forward
P. Jones,Miss,95,52,Defender
R. Lukaku,Miss,86,49,Forward
M. Olsson,Miss,96,27,Defender
M. Rashford,Miss,66,31,Forward
K. Bartley,Miss,93,50,Defender
M. Rashford,Miss,89,44,Forward
Juan Mata,Miss,88,57,Midfielder
P. Pogba,Miss,95,51,Midfielder
E. Bailly,GOAL,97,48,Defender
M. Rashford,Miss,78,39,Forward
L. Fer,Miss,70,41,Midfielder
T. Abraham,Miss,90,42,Forward
H. Mkhitaryan,Miss,78,73,Midfielder
H. Mkhitaryan,Miss,77,33,Midfielder
A. Martial,Miss,81,65,Forward
R. Lukaku,GOAL,89,45,Forward
P. Pogba,GOAL,93,62,Midfielder
A. Martial,GOAL,87,43,Forward
J. Ayew,Miss,73,50,Forward
Álvaro Morata,Miss,95,52,Forward
H. Kane,Miss,76,49,Forward
D. Alli,Miss,94,69,Midfielder
M. Dembélé,Miss,76,55,Midfielder
David Luiz,Miss,80,36,Defender
T. Alderweireld,Miss,90,55,Defender
H. Kane,Miss,95,64,Forward
H. Kane,Miss,84,67,Forward
H. Kane,Miss,88,34,Forward
V. Wanyama,Miss,73,63,Midfielder
B. Davies,Miss,71,36,Defender
B. Davies,Miss,80,56,Defender
H. Kane,Miss,89,45,Forward
B. Davies,Miss,88,26,Defender
C. Eriksen,Miss,89,70,Midfielder
H. Kane,Miss,91,47,Forward
Álvaro Morata,Miss,86,62,Forward
V. Wanyama,Miss,78,55,Midfielder
Álvaro Morata,Miss,89,39,Forward
V. Moses,Miss,90,68,Midfielder
Willian,Miss,76,53,Midfielder
J. Vertonghen,Miss,82,44,Defender
H. Kane,Miss,83,50,Forward
Marcos Alonso,GOAL,91,30,Defender
M. Antonio,Miss,71,47,Forward
João Mário,GOAL,85,53,Midfielder
M. Arnautović,Miss,91,41,Forward
M. Arnautović,Miss,93,45,Forward
M. Arnautović,GOAL,95,46,Forward
E. Fernandes,Miss,88,71,Midfielder
M. Arnautović,GOAL,92,55,Forward
C. Austin,Miss,89,63,Forward
C. Austin,Miss,83,56,Forward
João Mário,Miss,98,68,Midfielder
N. Redmond,Miss,95,38,Midfielder
M. Arnautović,Miss,79,38,Forward
C. Austin,Miss,89,55,Forward
M. Arnautović,Miss,83,40,Forward
P. Højbjerg,Miss,89,46,Midfielder
D. Tadić,Miss,77,30,Midfielder
W. Hoedt,Miss,68,31,Defender
A. Cresswell,Miss,78,51,Defender
S. Long,Miss,89,59,Forward
J. King,Miss,90,62,Forward
A. Surman,Miss,80,52,Midfielder
C. Daniels,GOAL,90,19,Defender
N. Otamendi,Miss,88,56,Defender
J. Defoe,Miss,89,57,Forward
A. Smith,Miss,94,84,Defender
