Player,PrimaryPosition,Games,acceleration_pg,acceleration_acc,launch_pg,launch_acc,smartpass_pg,smartpass_acc,throughball_pg,throughball_acc,shots_pg,goals_pg,assists_pg,keypasses_pg,counterattacks_pg,opportunities_pg,feints_pg,anticipated_rate,consistency,Rating
J. Gomez,lb,23,1.130,0.739,0.348,0.500,0.478,0.387,0.391,0.310,0.217,0.000,0.043,0.261,0.696,0.130,0.000,0.027,0.645,64.04
J. Livermore,lcm,34,0.176,0.500,0.500,0.378,0.618,0.439,0.824,0.354,0.441,0.059,0.059,0.206,1.206,0.294,0.029,0.017,0.536,65.56
C. Brunt,rcm,26,0.038,0.429,1.000,0.435,0.885,0.442,1.385,0.393,0.615,0.000,0.269,0.692,0.808,0.808,0.077,0.030,0.520,69.93
N. Aké,rb,38,0.158,0.538,0.658,0.378,0.237,0.414,0.289,0.419,0.368,0.053,0.079,0.000,0.237,0.316,0.000,0.041,0.714,63.45
C. Daniels,rb,35,1.200,0.758,1.000,0.436,0.857,0.360,0.514,0.342,0.486,0.029,0.057,0.286,0.314,0.371,0.000,0.017,0.622,65.25
A. Nyom,lb,29,0.414,0.625,0.793,0.442,0.207,0.385,0.172,0.400,0.103,0.000,0.034,0.172,0.621,0.034,0.000,0.031,0.579,62.90
H. Arter,cm,13,0.385,0.480,0.385,0.360,0.846,0.419,0.462,0.346,0.846,0.077,0.000,0.077,0.538,0.231,0.000,0.014,0.503,64.39
M. Phillips,lam,30,0.900,0.660,0.167,0.320,0.433,0.394,0.133,0.417,0.833,0.067,0.067,0.633,1.267,0.633,0.033,0.004,0.560,67.36
A. Begović,gk,38,0.000,0.400,5.711,0.608,0.000,0.400,0.026,0.381,0.000,0.000,0.000,0.000,0.237,0.000,0.000,0.000,0.571,61.63
S. Cook,cb,34,0.235,0.571,1.382,0.343,0.088,0.435,0.294,0.367,0.500,0.059,0.029,0.000,0.206,0.382,0.000,0.047,0.538,62.58
S. Francis,lb,32,0.281,0.586,1.156,0.404,0.000,0.400,0.219,0.370,0.250,0.000,0.031,0.344,0.406,0.219,0.031,0.031,0.579,63.06
C. Yacob,cdm,16,0.000,0.400,0.188,0.435,0.062,0.381,0.125,0.364,0.375,0.000,0.000,0.000,0.438,0.250,0.000,0.025,0.396,61.82
B. Foster,gk,37,0.000,0.400,9.730,0.645,0.000,0.400,0.081,0.348,0.000,0.000,0.000,0.000,0.324,0.000,0.000,0.036,0.630,61.25
A. Surman,cm,25,0.240,0.538,0.200,0.360,0.440,0.484,0.400,0.400,0.720,0.080,0.200,0.080,0.760,0.440,0.120,0.023,0.504,67.61
J. King,rw,33,1.394,0.758,0.030,0.381,1.182,0.390,0.848,0.333,1.394,0.182,0.061,0.545,1.788,1.091,0.212,0.003,0.548,71.68
R. Fraser,cam,26,1.462,0.741,0.192,0.360,0.923,0.477,0.769,0.350,1.154,0.192,0.115,0.385,0.808,0.846,0.038,0.013,0.545,69.99
Ahmed Hegazy,cb,41,0.073,0.478,1.146,0.507,0.122,0.400,0.220,0.276,0.415,0.049,0.000,0.049,0.512,0.415,0.000,0.037,0.678,61.08
J. Rodriguez,st,37,0.649,0.682,0.054,0.409,0.297,0.387,0.270,0.400,1.784,0.162,0.027,0.108,1.270,1.378,0.027,0.008,0.574,67.32
J. McClean,ram,34,0.559,0.692,0.294,0.367,0.118,0.375,0.265,0.310,0.882,0.029,0.000,0.206,1.059,0.471,0.000,0.010,0.391,63.08
S. Field,rcm,11,0.000,0.400,0.091,0.381,0.091,0.381,0.091,0.381,0.455,0.091,0.000,0.091,0.182,0.364,0.000,0.000,0.208,63.10
M. Pugh,ram,20,0.200,0.500,0.150,0.478,0.800,0.417,0.450,0.448,0.950,0.000,0.000,0.150,0.600,0.650,0.100,0.004,0.298,65.90
B. Afobe,st,17,0.176,0.478,0.000,0.400,0.118,0.364,0.118,0.364,0.412,0.000,0.000,0.000,0.471,0.353,0.000,0.005,0.115,61.95
C. Dawson,lb,28,0.036,0.429,0.893,0.400,0.071,0.409,0.393,0.355,0.607,0.071,0.000,0.214,0.500,0.393,0.036,0.048,0.724,62.96
J. Ibe,lam,32,1.062,0.685,0.125,0.375,1.031,0.377,0.656,0.390,1.500,0.062,0.188,0.406,0.969,0.906,0.062,0.006,0.601,69.93
J. Defoe,st,24,0.167,0.500,0.042,0.381,0.250,0.423,0.083,0.364,1.083,0.167,0.042,0.083,0.375,0.958,0.000,0.000,0.301,64.81
H. Robson-Kanu,lw,26,0.115,0.478,0.077,0.364,0.500,0.364,0.385,0.333,0.846,0.154,0.000,0.192,0.462,0.692,0.000,0.002,0.346,63.78
A. Smith,lb,27,0.963,0.739,0.667,0.316,0.444,0.312,0.407,0.290,0.444,0.037,0.037,0.222,0.296,0.333,0.000,0.014,0.584,62.76
S. Rondón,st,36,0.250,0.414,0.083,0.348,0.583,0.317,0.528,0.359,2.167,0.194,0.056,0.139,1.833,1.778,0.028,0.002,0.595,67.22
S. Prödl,cb,23,0.087,0.455,1.000,0.395,0.130,0.391,0.217,0.360,0.304,0.000,0.000,0.000,0.217,0.217,0.000,0.050,0.616,61.23
L. Mousset,rw,23,0.522,0.594,0.087,0.364,0.565,0.364,0.348,0.321,0.826,0.087,0.000,0.087,0.565,0.696,0.043,0.000,0.159,63.82
E. Capoue,cm,23,0.087,0.409,0.435,0.400,0.565,0.424,0.652,0.343,1.000,0.043,0.000,0.217,0.435,0.522,0.000,0.028,0.502,64.04
C. Kabasele,cb,28,0.071,0.455,1.036,0.429,0.143,0.375,0.286,0.321,0.357,0.071,0.000,0.000,0.143,0.357,0.000,0.032,0.660,61.36
