Player,PrimaryPosition,Games,CrossAccuracy,CrossesPerGame,KeyPassesPerGame,Consistency,TurnoverRate,Rating
R. Sigurðsson,rcb,8,0.630,4.250,0.000,0.742,0.370,65.369
K. Árnason,lcb,7,0.508,5.857,0.143,0.559,0.492,65.358
Pepe,lb,10,0.495,8.700,0.100,0.622,0.505,67.477
Ricardo Carvalho,rb,2,0.370,3.500,0.000,0.394,0.630,63.410
R. Juhász,lb,3,0.417,5.333,0.000,0.108,0.583,63.168
Eliseu,rb,2,0.449,14.500,0.500,0.688,0.551,65.833
M. Korhut,rb,1,0.435,3.000,0.000,1.000,0.565,64.301
B. Bese,lb,1,0.364,2.000,0.000,1.000,0.636,64.134
M. Škriniar,lcb,38,0.503,3.763,0.000,0.417,0.497,67.105
J. Denayer,rb,1,0.409,2.000,0.000,1.000,0.591,64.183
J. Lukaku,rb,27,0.353,4.296,0.222,0.162,0.647,65.086
S. Ingason,lcb,3,0.455,4.333,0.000,0.345,0.545,63.151
Bruno Alves,rb,1,0.407,7.000,0.000,1.000,0.593,64.633
S. Umtiti,rb,30,0.520,3.567,0.067,0.406,0.480,67.133
R. Thomas,rb,27,0.588,7.259,0.000,0.664,0.412,71.766
Y. Sabaly,lb,38,0.442,7.447,0.289,0.463,0.558,71.976
V. Manceau,lb,33,0.447,7.394,0.121,0.531,0.553,71.196
T. Pellenard,rb,16,0.361,8.438,0.188,0.304,0.639,67.252
V. Jovanović,rcb,16,0.527,4.562,0.062,0.671,0.473,65.960
I. Traoré,lb,32,0.497,4.531,0.000,0.536,0.503,68.068
Diego Carlos,lcb,27,0.477,6.481,0.074,0.564,0.523,69.487
N. Pallois,rcb,27,0.551,6.593,0.037,0.606,0.449,70.542
L. Dubois,lb,34,0.458,12.647,0.529,0.632,0.542,79.410
J. Alonso,rb,34,0.518,8.265,0.118,0.612,0.482,73.513
K. Djidji,rcb,28,0.476,5.964,0.036,0.337,0.524,68.525
F. Touré,rb,26,0.323,3.038,0.077,0.000,0.677,62.358
Edgar Ié,lb,34,0.401,5.059,0.000,0.350,0.599,66.948
K. Malcuit,lb,21,0.388,6.667,0.238,0.459,0.613,67.439
R. Kouamé,rb,3,0.375,1.333,0.000,0.000,0.625,62.000
C. Awaziem,lcb,22,0.487,6.091,0.000,0.499,0.513,67.643
K. Lala,lcb,31,0.529,10.323,0.226,0.531,0.471,75.935
P. Martinez,rb,24,0.506,6.417,0.000,0.484,0.494,68.637
Rafael,lb,22,0.443,6.682,0.409,0.515,0.557,68.960
Marcelo,lb,35,0.500,5.886,0.057,0.599,0.500,70.212
Marçal,rb,18,0.340,4.611,0.056,0.265,0.660,63.599
K. Mangane,lb,20,0.485,7.550,0.050,0.484,0.515,68.687
Y. Salmier,lcb,14,0.477,4.857,0.071,0.432,0.523,65.042
J. Morel,rb,32,0.612,5.250,0.000,0.597,0.388,70.658
W. Lautoa,rcb,8,0.527,4.375,0.000,0.601,0.473,64.617
O. Haddadi,rb,34,0.482,6.059,0.265,0.408,0.518,70.398
Rolando,rb,31,0.554,4.129,0.000,0.548,0.446,68.384
H. Sakai,lb,34,0.355,4.471,0.147,0.198,0.645,65.742
C. Varrault,lb,11,0.609,4.455,0.000,0.552,0.391,65.508
C. Yamberé,lb,32,0.594,6.531,0.000,0.606,0.406,71.927
V. Rosier,lb,32,0.415,5.469,0.125,0.309,0.585,67.927
M. Biševac,lb,10,0.639,6.300,0.100,0.739,0.361,67.193
B. Assou-Ekotto,rb,13,0.549,12.462,0.077,0.697,0.451,71.662
J. Sorbon,rb,27,0.545,4.222,0.000,0.405,0.455,67.320
Pedro Rebocho,rb,20,0.460,6.500,0.300,0.628,0.540,68.387
S. Falette,rb,28,0.459,7.536,0.036,0.579,0.541,70.574
J. Ikoko,lb,28,0.423,5.107,0.214,0.485,0.577,67.796
Iván Balliu,lb,24,0.397,6.833,0.042,0.288,0.603,67.437
F. Diagne,lcb,26,0.508,6.731,0.000,0.675,0.492,69.899
C. Kerbrat,lb,37,0.534,8.216,0.000,0.585,0.466,73.445
Jemerson,rb,31,0.440,4.774,0.000,0.426,0.560,67.273
F. Moubandje,rb,21,0.382,7.143,0.143,0.370,0.618,67.391
Jorge,rb,22,0.389,7.273,0.182,0.500,0.611,68.192
D. Sidibé,lb,27,0.429,4.963,0.111,0.295,0.571,66.731
C. Jullien,rb,30,0.556,6.533,0.033,0.542,0.444,71.201
A. Djiku,rb,28,0.488,5.214,0.000,0.431,0.512,67.943
D. Congré,rb,32,0.511,5.062,0.031,0.467,0.489,68.832
N. Mukiele,lb,32,0.462,8.719,0.344,0.634,0.538,73.898
Pedro Mendes,lcb,34,0.502,6.735,0.000,0.538,0.498,70.851
J. Roussillon,rb,22,0.381,7.318,0.318,0.308,0.619,68.171
R. Genevois,lb,24,0.472,6.667,0.125,0.480,0.528,68.860
F. Guilbert,lb,36,0.388,6.667,0.139,0.460,0.612,69.545
A. Mbengue,rb,19,0.365,9.474,0.211,0.491,0.635,69.340
Marquinhos,lb,25,0.508,4.160,0.040,0.451,0.492,66.586
O. El Hajjam,lb,25,0.330,7.080,0.080,0.509,0.670,67.660
M. Bodmer,rcb,10,0.596,3.700,0.000,0.393,0.404,64.600
Thiago Silva,lcb,28,0.573,3.464,0.000,0.509,0.427,67.303
K. Adénon,rcb,31,0.529,3.871,0.000,0.496,0.471,67.612
Dani Alves,lb,25,0.511,10.320,0.600,0.701,0.489,75.421
P. Gouano,lb,30,0.531,4.667,0.000,0.576,0.469,68.706
L. Kurzawa,rb,19,0.360,3.632,0.105,0.256,0.640,63.149
I. Cissokho,lb,18,0.435,7.444,0.111,0.467,0.565,67.691
M. Le Marchand,rb,29,0.389,5.517,0.103,0.231,0.611,67.077
K. Théophile Catherine,lcb,24,0.412,6.958,0.042,0.463,0.588,68.116
M. Sarr,rb,17,0.464,5.412,0.059,0.441,0.536,65.813
L. Perrin,rcb,28,0.522,4.893,0.071,0.460,0.478,68.344
R. Pierre-Gabriel,rcb,16,0.369,2.812,0.000,0.000,0.631,61.596
Dante,lcb,33,0.530,5.000,0.061,0.552,0.470,69.376
A. Souquet,lb,28,0.403,4.250,0.107,0.231,0.597,65.656
S. Janko,lb,16,0.309,4.812,0.125,0.012,0.691,63.015
R. Bensebaini,rb,29,0.361,7.241,0.207,0.381,0.639,69.322
J. Obiang,rb,7,0.377,7.000,0.000,0.480,0.623,64.855
O. Vizcarrondo,lcb,19,0.519,6.053,0.000,0.720,0.481,67.720
L. Baal,rb,16,0.414,6.000,0.125,0.297,0.586,65.556
C. Hérelle,rb,32,0.497,4.969,0.000,0.452,0.503,68.386
M. Deplagne,lb,27,0.420,5.963,0.185,0.515,0.580,68.432
H. Traoré,lb,30,0.365,8.200,0.200,0.518,0.635,71.005
J. Gnagnon,rcb,31,0.450,2.581,0.000,0.320,0.550,64.629
Y. Andreu,rb,23,0.465,7.261,0.217,0.641,0.535,69.743
