Player,PrimaryPosition,Games,GroundDuelAcc,AerialDuelAcc,GroundDuelsPG,ClearancesPG,FoulsPG,Consistency,SlidingTacklesPG,SlidingTackleAcc,InterceptionsPG,AnticipationRatio,Rating
J. Milner,cam,33,0.500,0.517,4.70,0.455,0.879,0.454,0.73,0.436,2.73,0.464,77.554
J. Gomez,lb,23,0.569,0.607,7.83,1.435,0.609,0.559,0.57,0.536,4.78,0.607,83.960
J. Livermore,lcm,34,0.487,0.494,6.26,0.618,1.324,0.544,0.74,0.425,3.74,0.500,79.080
C. Brunt,rcm,26,0.492,0.556,4.35,1.308,0.577,0.454,0.38,0.320,4.19,0.583,76.169
N. Aké,rb,38,0.558,0.571,5.97,3.395,0.711,0.546,0.76,0.500,6.95,0.705,86.075
C. Daniels,rb,35,0.525,0.582,4.74,1.886,0.200,0.423,0.63,0.541,4.37,0.560,81.362
A. Nyom,lb,29,0.535,0.508,7.79,2.138,0.759,0.507,0.48,0.517,3.76,0.618,83.058
H. Arter,cm,13,0.416,0.481,4.77,0.308,0.923,0.342,1.46,0.529,3.31,0.400,77.730
M. Phillips,lam,30,0.400,0.505,3.50,0.700,0.467,0.153,0.27,0.348,2.90,0.286,70.400
A. Begović,gk,38,0.368,0.703,0.11,0.184,0.053,0.000,0.03,0.375,1.92,0.400,64.748
S. Cook,cb,34,0.503,0.714,4.24,3.647,0.676,0.491,0.82,0.488,7.41,0.744,83.609
S. Francis,lb,32,0.482,0.682,6.34,3.250,0.844,0.472,0.50,0.419,6.44,0.694,82.100
C. Yacob,cdm,16,0.440,0.471,6.31,1.188,1.500,0.460,0.44,0.409,3.94,0.524,76.025
B. Foster,gk,37,0.296,0.640,0.32,0.297,0.054,0.000,0.08,0.333,1.73,0.438,63.113
A. Surman,cm,25,0.430,0.505,3.68,1.200,0.320,0.463,0.32,0.435,4.92,0.481,74.778
J. King,rw,33,0.454,0.495,5.09,0.273,1.394,0.373,0.00,0.400,1.64,0.115,71.286
R. Fraser,cam,26,0.412,0.393,2.69,0.846,0.231,0.066,0.38,0.400,2.65,0.312,70.489
Ahmed Hegazy,cb,41,0.560,0.657,5.95,4.488,0.634,0.609,0.39,0.452,8.10,0.732,86.242
J. Rodriguez,st,37,0.390,0.500,4.03,0.811,1.054,0.205,0.30,0.462,2.14,0.273,70.896
J. McClean,ram,34,0.447,0.480,5.15,0.176,1.206,0.360,0.47,0.419,1.68,0.407,73.943
S. Field,rcm,11,0.426,0.500,4.18,0.364,1.091,0.070,1.09,0.481,2.73,0.333,75.014
M. Pugh,ram,20,0.407,0.386,1.95,0.350,0.400,0.000,0.15,0.333,1.95,0.389,67.982
B. Afobe,st,17,0.452,0.432,1.59,0.176,0.471,0.213,0.00,0.400,0.82,0.250,69.227
C. Dawson,lb,28,0.544,0.671,8.00,2.750,1.357,0.652,0.36,0.480,6.39,0.717,84.333
J. Ibe,lam,32,0.406,0.368,2.53,0.156,0.375,0.261,0.00,0.400,1.00,0.257,67.633
J. Defoe,st,24,0.431,0.194,1.50,0.000,0.542,0.238,0.33,0.391,0.42,0.250,67.986
H. Robson-Kanu,lw,26,0.368,0.375,2.35,0.269,0.962,0.000,0.12,0.333,0.88,0.167,65.429
R. Harper,ram,1,0.412,0.400,2.00,0.000,0.000,1.000,0.00,0.400,0.00,0.400,74.596
A. Smith,lb,27,0.509,0.431,7.59,1.444,0.741,0.603,0.70,0.441,5.56,0.448,82.200
S. Rondón,st,36,0.426,0.467,2.58,0.333,1.194,0.211,0.17,0.429,1.94,0.120,68.313
S. Prödl,cb,23,0.617,0.594,5.13,2.826,1.000,0.730,0.87,0.571,5.26,0.690,85.400
L. Mousset,rw,23,0.469,0.255,2.13,0.174,0.522,0.207,0.13,0.389,0.74,0.261,68.938
E. Capoue,cm,23,0.487,0.641,6.04,1.000,0.870,0.518,0.91,0.500,5.00,0.615,81.235
C. Kabasele,cb,28,0.532,0.651,7.25,3.071,1.143,0.475,0.61,0.344,6.43,0.677,83.088
B. Watson,cdm,8,0.367,0.485,8.00,0.875,1.500,0.346,0.75,0.381,4.25,0.444,75.993
G. Barry,cm,25,0.436,0.461,5.64,0.680,1.080,0.399,0.20,0.400,3.88,0.450,74.091
A. Barnes,st,36,0.469,0.370,2.31,0.528,1.472,0.190,0.28,0.400,1.33,0.267,68.682
Joselu,st,30,0.500,0.554,2.50,1.000,1.033,0.240,0.33,0.400,2.43,0.179,72.258
M. Diamé,cm,31,0.573,0.564,8.13,0.484,1.419,0.651,0.32,0.400,3.65,0.500,81.289
J. Murphy,cam,25,0.447,0.348,3.52,0.280,0.360,0.282,0.16,0.526,1.68,0.280,71.869
M. Hefele,cb,2,0.389,0.438,1.50,0.000,1.000,1.000,0.50,0.375,1.00,0.438,74.327
I. Slimani,rw,16,0.394,0.359,1.12,0.062,0.312,0.000,0.12,0.353,0.44,0.273,67.237
A. Robertson,rb,22,0.488,0.618,6.86,1.545,0.682,0.615,0.27,0.381,4.41,0.478,79.164
R. Klavan,rb,18,0.619,0.597,5.00,2.111,0.389,0.717,0.06,0.438,4.17,0.654,80.265
D. Sturridge,st,18,0.500,0.344,0.61,0.000,0.167,0.412,0.06,0.375,0.22,0.222,69.611
D. Solanke,st,19,0.351,0.418,1.16,0.158,0.684,0.000,0.05,0.438,0.79,0.269,66.059
S. Kaikai,ram,1,0.471,0.400,2.00,0.000,0.000,1.000,0.00,0.400,0.00,0.400,74.718
J. McArthur,cm,33,0.491,0.444,7.64,1.061,1.242,0.382,0.27,0.458,4.03,0.344,78.064
J. Schlupp,rb,24,0.484,0.475,7.04,1.542,0.750,0.669,1.12,0.452,5.46,0.440,83.195
M. Holgate,lb,15,0.553,0.562,7.20,3.467,0.800,0.578,1.00,0.467,5.73,0.639,84.008
G. Sigurðsson,ram,35,0.466,0.395,7.06,0.886,0.743,0.638,0.51,0.394,4.46,0.353,79.100
M. Bešić,cdm,2,0.350,0.412,2.50,0.000,0.500,0.000,1.50,0.444,1.50,0.400,74.567
S. Mustafi,cb,29,0.582,0.653,8.14,3.034,1.138,0.733,1.59,0.574,6.07,0.791,91.464
Jesé Rodríguez,rw,13,0.458,0.269,2.54,0.077,0.462,0.000,0.08,0.375,0.69,0.300,69.651
Ramadan Sobhi,ram,27,0.528,0.318,4.07,0.259,0.630,0.501,0.19,0.300,1.19,0.367,73.057
A. Iwobi,cam,29,0.602,0.353,2.69,0.276,0.414,0.378,0.00,0.400,1.66,0.333,73.051
B. Martins Indi,cb,17,0.460,0.573,5.00,2.412,0.706,0.375,0.29,0.300,4.24,0.556,75.916
Roque Mesa,cm,18,0.400,0.370,7.22,0.500,1.444,0.350,0.39,0.318,3.17,0.500,74.043
L. Narsingh,lam,18,0.467,0.342,1.67,0.056,0.222,0.251,0.06,0.375,0.78,0.292,69.455
Ander Herrera,lcm,26,0.432,0.488,6.81,0.385,1.115,0.394,0.65,0.406,3.27,0.529,76.945
T. Bakayoko,rcm,29,0.507,0.592,7.03,0.759,1.724,0.521,0.45,0.536,3.59,0.442,79.497
V. Moses,lam,31,0.564,0.468,4.32,0.871,0.903,0.541,0.19,0.476,3.61,0.371,76.956
K. Trippier,lb,30,0.512,0.595,6.73,1.067,0.800,0.602,0.20,0.524,5.10,0.594,80.340
Pedro,rw,33,0.471,0.194,1.67,0.152,0.242,0.027,0.09,0.389,1.33,0.346,66.945
V. Janssen,rw,1,0.400,0.375,0.00,0.000,0.000,1.000,0.00,0.400,0.00,0.400,74.367
C. Kouyaté,lcm,36,0.483,0.611,6.31,0.778,1.278,0.551,0.50,0.485,2.83,0.432,78.956
M. Antonio,lw,21,0.425,0.472,2.76,0.476,0.810,0.210,0.19,0.421,1.95,0.143,70.205
João Mário,cam,38,0.459,0.340,3.74,0.342,1.026,0.380,0.21,0.435,1.50,0.200,70.962
P. Højbjerg,cm,23,0.478,0.507,7.17,1.043,1.435,0.507,0.70,0.452,4.65,0.474,79.505
W. Hoedt,rb,28,0.619,0.646,6.96,4.250,0.857,0.774,0.93,0.561,7.07,0.769,90.539
M. Lemina,cm,25,0.534,0.625,6.52,0.760,1.080,0.521,0.24,0.381,3.08,0.618,78.306
A. McCarthy,gk,18,0.400,0.667,0.00,0.222,0.111,1.000,0.00,0.400,1.39,0.400,71.109
S. Long,st,34,0.409,0.444,2.79,0.500,1.529,0.004,0.15,0.350,1.35,0.196,66.214
J. Hugill,rw,3,0.412,0.455,0.67,0.000,1.000,1.000,0.00,0.400,0.00,0.400,73.405
J. Cullen,lcm,2,0.353,0.400,1.00,0.000,0.000,0.000,0.00,0.400,0.50,0.400,73.095
G. Carrillo,st,22,0.358,0.489,1.73,0.318,0.773,0.026,0.23,0.400,1.05,0.333,67.150
T. Mings,rb,4,0.400,0.480,1.25,2.500,0.250,0.000,0.00,0.400,2.75,0.438,72.905
D. Gosling,cm,28,0.377,0.548,8.00,0.607,1.464,0.286,0.43,0.407,4.89,0.500,75.867
B. Mendy,rb,8,0.435,0.538,3.88,0.750,0.750,0.000,0.00,0.400,2.75,0.421,72.391
A. Lennon,lam,29,0.386,0.380,4.93,0.276,0.724,0.419,0.07,0.471,2.66,0.333,71.564
S. Clucas,rcm,29,0.523,0.511,3.97,0.621,0.414,0.353,0.28,0.348,3.21,0.391,74.746
M. van der Hoorn,lb,24,0.603,0.602,5.25,2.875,0.917,0.621,0.58,0.483,5.83,0.621,83.339
M. Kelly,lb,15,0.571,0.593,6.00,2.867,0.533,0.610,0.20,0.500,4.40,0.545,80.589
Lee Chung-Yong,cam,7,0.478,0.429,1.14,0.143,0.143,0.345,0.00,0.400,0.86,0.400,72.112
Y. Cabaye,cm,33,0.515,0.371,7.85,0.667,1.091,0.523,0.70,0.553,4.88,0.659,82.261
Àngel Rangel,lb,4,0.452,0.348,4.00,0.250,0.250,0.316,0.00,0.400,1.50,0.438,73.713
A. Sánchez,rw,31,0.468,0.337,5.03,0.065,1.097,0.548,0.61,0.294,1.42,0.216,73.985
L. Koscielny,cb,32,0.637,0.671,6.50,3.062,0.531,0.697,0.66,0.528,6.97,0.758,88.694
L. Karius,gk,19,0.353,0.615,0.11,0.316,0.105,0.000,0.00,0.400,1.37,0.400,66.394
F. Coquelin,cm,16,0.556,0.625,4.69,0.750,1.062,0.501,1.06,0.500,3.12,0.480,80.052
M. Grujić,rcm,3,0.400,0.353,1.67,0.000,0.000,1.000,0.00,0.400,0.33,0.438,73.809
A. King,cm,25,0.567,0.519,4.20,0.640,0.440,0.531,0.28,0.455,2.40,0.520,77.403
J. Collins,cb,15,0.476,0.713,3.20,4.333,0.867,0.290,0.20,0.389,6.53,0.609,76.610
M. Lanzini,ram,27,0.425,0.270,3.37,0.111,0.407,0.313,0.30,0.391,2.22,0.310,70.544
A. Mitrović,st,9,0.500,0.544,1.44,0.778,1.000,0.000,0.11,0.375,1.22,0.231,71.334
C. Wood,st,24,0.481,0.455,1.54,0.458,0.792,0.284,0.00,0.400,1.38,0.179,69.144
A. Westwood,cm,18,0.436,0.433,4.39,0.722,0.722,0.438,0.11,0.412,4.00,0.478,73.355
D. Sánchez,cb,35,0.566,0.586,5.89,2.629,0.686,0.602,0.54,0.529,4.37,0.737,84.209
C. Cathcart,cb,11,0.642,0.510,4.73,3.818,0.545,0.452,0.73,0.435,5.09,0.500,81.007
A. Carrillo,lam,31,0.500,0.329,3.71,0.290,0.516,0.410,0.39,0.370,1.87,0.300,73.283
L. Rosenior,lb,3,0.500,0.444,3.67,1.000,0.333,0.801,0.00,0.400,2.33,0.438,74.984
J. Izquierdo,rw,33,0.483,0.299,3.06,0.667,0.667,0.326,0.33,0.538,1.76,0.258,72.752
T. Deeney,rw,29,0.449,0.486,2.17,0.586,0.931,0.131,0.55,0.484,1.17,0.225,71.209
J. Morrison,cam,4,0.519,0.389,3.00,0.000,0.000,0.515,0.25,0.375,1.50,0.400,74.505
O. Burke,lam,15,0.457,0.429,2.07,0.200,0.133,0.148,0.07,0.438,1.07,0.450,70.742
G. Krychowiak,cm,35,0.470,0.600,5.71,0.600,1.000,0.343,0.40,0.414,3.71,0.500,76.365
J. Evans,cb,32,0.535,0.601,5.38,2.938,1.031,0.570,0.69,0.432,6.38,0.735,82.863
K. Gibbs,rb,33,0.522,0.519,5.00,1.636,0.636,0.579,0.64,0.472,5.24,0.600,80.876
N. Pope,gk,35,0.368,0.744,0.11,0.371,0.114,0.000,0.03,0.375,2.29,0.400,65.375
L. Lumeka,rw,1,0.412,0.375,2.00,0.000,1.000,1.000,0.00,0.400,1.00,0.400,74.493
N. Vlašić,lam,12,0.508,0.417,4.17,0.083,0.500,0.402,0.25,0.444,2.17,0.310,74.405
D. Zappacosta,lb,24,0.516,0.556,4.46,0.417,0.250,0.404,0.42,0.480,2.08,0.421,76.818
E. Hazard,rw,45,0.473,0.407,1.69,0.044,0.489,0.191,0.02,0.375,1.18,0.164,66.972
C. Bravo,gk,3,0.353,0.471,0.67,0.333,0.000,0.000,0.00,0.400,0.67,0.400,72.391
E. Mangala,rb,12,0.511,0.489,2.67,1.750,0.333,0.103,0.08,0.375,2.67,0.526,73.244
A. Mariappa,cb,28,0.513,0.601,6.50,1.857,1.179,0.567,1.25,0.440,5.36,0.700,84.387
K. Wimmer,rb,18,0.512,0.475,5.89,2.778,1.056,0.563,0.67,0.444,5.67,0.690,80.532
M. Darmian,cb,10,0.537,0.500,6.50,2.000,0.500,0.430,0.10,0.375,3.40,0.474,77.160
Jesús Gámez,rb,2,0.429,0.438,6.50,0.000,0.000,0.418,0.50,0.375,3.50,0.471,75.243
Renato Sanches,cam,18,0.425,0.368,4.00,0.056,1.056,0.497,0.17,0.500,1.83,0.318,72.229
W. Bony,lw,15,0.467,0.462,1.00,0.933,0.467,0.227,0.27,0.368,1.27,0.240,70.798
José Fonte,cb,16,0.486,0.643,5.75,2.688,0.812,0.481,0.69,0.423,5.88,0.630,80.052
A. Carroll,st,16,0.400,0.631,0.94,0.500,1.812,0.000,0.12,0.353,1.06,0.261,67.137
S. Malone,rb,22,0.596,0.489,5.50,1.773,0.818,0.590,0.00,0.400,3.64,0.625,78.492
A. Sabiri,cam,5,0.385,0.545,2.20,0.200,0.800,0.271,0.20,0.375,1.60,0.400,72.483
L. Depoitre,lw,32,0.484,0.535,2.44,0.906,0.844,0.306,0.50,0.452,1.81,0.220,73.212
B. Sako,cam,16,0.361,0.383,1.31,0.062,0.500,0.000,0.00,0.400,0.31,0.240,66.510
V. van Dijk,cb,26,0.600,0.722,4.42,3.769,0.538,0.558,0.31,0.522,6.27,0.692,83.378
B. Chilwell,rb,24,0.525,0.571,6.75,2.000,0.500,0.517,0.25,0.429,4.25,0.613,80.291
J. Hogg,cdm,30,0.508,0.539,9.53,1.433,1.133,0.587,0.83,0.500,6.10,0.576,85.682
Philippe Coutinho,rw,37,0.407,0.429,3.97,0.081,0.541,0.287,0.19,0.455,2.08,0.171,70.529
A. Young,rb,34,0.454,0.481,6.94,1.765,0.971,0.510,0.65,0.568,4.65,0.594,81.313
D. Yedlin,lb,34,0.497,0.539,8.38,1.559,0.971,0.631,0.50,0.469,5.35,0.548,83.113
S. Aurier,lb,17,0.583,0.670,9.00,1.059,1.235,0.733,1.41,0.513,5.00,0.633,87.071
Fernando Llorente,st,16,0.393,0.453,0.81,0.125,0.312,0.000,0.00,0.400,0.31,0.333,67.194
İ. Gündoğan,cam,31,0.504,0.355,3.16,0.355,0.419,0.313,0.19,0.333,1.77,0.406,71.597
F. Hadergjonaj,lb,23,0.443,0.482,5.43,1.304,0.739,0.425,0.70,0.355,3.70,0.500,76.901
J. Stanislas,cam,19,0.507,0.306,3.16,0.474,0.421,0.464,0.21,0.421,2.47,0.417,73.415
O. Niasse,st,22,0.319,0.403,2.45,0.182,1.364,0.000,0.27,0.381,0.91,0.241,65.800
J. Kenny,lb,19,0.443,0.570,8.95,3.000,0.895,0.573,1.37,0.415,5.79,0.609,85.192
M. Sakho,rb,19,0.576,0.570,2.68,2.684,0.105,0.535,0.84,0.613,7.42,0.625,82.141
F. Delph,ram,26,0.601,0.397,5.31,0.885,0.577,0.623,1.12,0.659,2.85,0.577,84.405
C. Smalling,cb,33,0.641,0.729,7.06,2.636,0.848,0.732,0.45,0.633,4.55,0.853,88.630
G. Johnson,lb,9,0.500,0.524,3.89,1.444,0.778,0.341,0.44,0.526,3.11,0.526,75.934
I. Afellay,lcm,6,0.381,0.400,1.00,0.000,0.167,0.000,0.50,0.389,0.50,0.375,71.542
M. Wagué,lb,7,0.562,0.675,4.71,3.571,0.714,0.577,0.86,0.429,4.86,0.471,79.300
L. Cook,cm,28,0.482,0.485,7.32,0.643,1.179,0.582,1.25,0.460,4.00,0.575,82.792
Vicente Iborra,cm,19,0.445,0.548,5.95,1.895,1.000,0.359,0.84,0.484,6.11,0.536,79.227
G. Bong,rb,25,0.569,0.607,7.28,2.000,0.640,0.676,0.40,0.480,5.52,0.645,83.719
E. Schelotto,lb,20,0.540,0.629,4.90,1.750,0.500,0.443,0.30,0.476,3.40,0.435,78.465
D. Whitehead,cdm,4,0.381,0.438,1.50,0.250,0.000,0.000,0.00,0.400,0.75,0.438,72.132
D. Delaney,rb,2,0.520,0.421,5.00,2.000,0.000,0.951,0.50,0.438,5.00,0.438,76.172
F. Ladapo,st,1,0.400,0.412,0.00,0.000,1.000,1.000,0.00,0.400,0.00,0.400,74.272
U. Hünemeier,cb,1,0.333,0.471,3.00,2.000,0.000,1.000,2.00,0.353,2.00,0.400,75.588
J. Speroni,gk,11,0.400,0.471,0.00,0.273,0.000,1.000,0.00,0.400,0.91,0.400,71.471
C. Musonda,ram,2,0.350,0.438,2.50,0.000,1.500,0.000,0.00,0.400,0.00,0.400,73.055
N. Chadli,cam,11,0.422,0.444,2.73,0.364,0.273,0.150,0.00,0.400,1.45,0.412,71.031
G. Myhill,gk,1,0.375,0.400,1.00,1.000,1.000,1.000,0.00,0.400,0.00,0.400,74.394
G. McAuley,cb,13,0.565,0.528,3.62,1.769,0.462,0.651,0.31,0.474,4.00,0.526,77.811
T. Edwards,lb,6,0.538,0.467,6.17,2.167,0.333,0.585,0.00,0.400,3.67,0.400,76.641
Y. Touré,cam,10,0.480,0.500,1.00,0.400,0.400,0.097,0.20,0.412,1.30,0.471,71.503
Sung-Yeung Ki,cm,27,0.529,0.452,3.93,0.630,0.556,0.478,0.63,0.469,3.67,0.483,77.585
N. Dyer,lam,24,0.446,0.300,3.58,0.125,0.667,0.194,0.46,0.346,1.96,0.318,71.063
G. N'Koudou,rw,9,0.410,0.400,2.67,0.111,0.444,0.194,0.00,0.400,1.00,0.353,70.963
P. Mertesacker,cb,6,0.607,0.740,2.17,1.333,0.333,0.705,0.33,0.412,4.00,0.471,76.712
A. Lookman,ram,18,0.387,0.308,3.33,0.056,0.889,0.202,0.06,0.375,0.89,0.364,68.551
J. Wilshere,cam,23,0.473,0.500,3.30,0.261,0.696,0.392,0.57,0.393,1.43,0.333,73.769
V. Lindelöf,cb,23,0.575,0.588,6.00,2.913,0.478,0.577,0.35,0.565,5.13,0.679,83.125
C. Wilson,st,28,0.506,0.257,2.21,0.393,1.286,0.315,0.00,0.400,1.11,0.143,68.599
D. Drinkwater,cm,12,0.373,0.412,5.00,0.417,0.917,0.232,0.42,0.400,2.58,0.450,72.798
B. Baningime,lcm,8,0.356,0.381,3.75,0.125,0.375,0.000,0.12,0.375,1.75,0.400,71.069
W. Hughes,lam,15,0.476,0.300,5.87,0.333,1.267,0.417,0.53,0.435,2.40,0.423,75.321
C. Adam,rcm,11,0.380,0.500,3.18,0.545,0.818,0.180,0.36,0.474,2.55,0.444,72.236
O. Karnezis,gk,15,0.353,0.571,0.13,0.133,0.000,0.000,0.00,0.400,2.40,0.400,67.301
M. Cranie,cb,3,0.517,0.417,4.67,3.000,0.000,0.000,0.67,0.471,4.67,0.500,75.989
D. Rose,rb,18,0.531,0.425,5.44,0.667,0.944,0.496,1.00,0.606,3.00,0.440,80.193
P. Gazzaniga,gk,1,0.375,0.471,1.00,0.000,0.000,1.000,0.00,0.400,1.00,0.400,74.471
L. Grant,gk,3,0.438,0.400,0.33,0.000,0.000,1.000,0.33,0.438,1.00,0.400,74.198
R. Aarons,cam,15,0.444,0.426,3.20,0.133,0.667,0.381,0.07,0.438,0.87,0.276,71.482
Z. Ibrahimović,st,8,0.250,0.574,1.12,0.375,0.875,0.000,0.12,0.375,1.00,0.316,68.557
M. Zeegelaar,rb,12,0.600,0.595,8.75,1.167,1.583,0.813,1.17,0.345,3.42,0.643,83.189
A. Lallana,cam,15,0.460,0.414,2.33,0.067,0.533,0.240,0.47,0.318,1.33,0.364,71.498
P. Bardsley,lb,13,0.504,0.534,8.62,3.538,1.615,0.645,1.38,0.394,7.77,0.640,84.260
E. Lamela,lam,25,0.429,0.421,2.48,0.120,0.880,0.008,0.56,0.414,0.88,0.333,69.788
H. Choudhury,cdm,8,0.444,0.500,4.88,0.625,0.625,0.437,0.00,0.400,3.75,0.500,74.137
M. Rojo,rb,12,0.544,0.661,6.25,2.833,1.000,0.592,0.17,0.412,4.58,0.640,79.062
K. Darlow,gk,10,0.438,0.640,0.10,0.100,0.000,1.000,0.00,0.400,2.10,0.400,72.727
J. Pied,lb,2,0.474,0.500,11.50,1.500,0.500,0.770,2.00,0.474,6.00,0.471,77.908
Adrián,gk,19,0.368,0.524,0.21,0.368,0.105,0.000,0.05,0.375,1.63,0.438,66.600
K. Long,cb,16,0.547,0.595,7.62,4.312,0.938,0.538,0.44,0.455,6.75,0.654,83.087
D. Ings,lw,8,0.333,0.310,1.88,0.125,0.750,0.000,0.62,0.450,0.88,0.353,70.769
L. Ulloa,rw,14,0.390,0.432,1.86,0.143,0.500,0.013,0.07,0.438,0.57,0.318,68.724
C. Taylor,rb,11,0.417,0.638,5.18,2.273,0.545,0.219,0.45,0.400,6.36,0.500,76.184
E. Ampadu,cb,1,0.438,0.412,1.00,1.000,0.000,1.000,0.00,0.400,1.00,0.400,74.659
O. Zinchenko,ram,11,0.583,0.619,5.18,0.091,0.636,0.473,0.27,0.444,2.45,0.444,77.035
A. Maitland-Niles,rcm,14,0.464,0.410,6.93,1.643,0.714,0.380,0.21,0.333,4.86,0.500,76.292
L. Shaw,rb,11,0.561,0.451,6.09,0.727,0.455,0.557,0.36,0.474,4.64,0.600,78.373
S. McTominay,lcm,12,0.500,0.513,3.92,0.167,0.583,0.423,0.58,0.455,1.83,0.476,75.600
B. Kayal,cm,19,0.415,0.472,4.16,0.368,0.737,0.000,0.53,0.400,2.42,0.364,72.098
P. Foden,ram,5,0.421,0.412,0.80,0.000,0.200,0.000,0.00,0.400,0.00,0.438,71.392
J. Tymon,rb,3,0.333,0.400,5.00,1.000,0.000,0.000,0.33,0.375,1.33,0.438,73.850
C. Goldson,lb,3,0.500,0.594,4.33,1.333,0.667,0.378,0.33,0.375,4.33,0.526,75.290
J. Sinclair,st,4,0.353,0.375,0.50,0.000,0.250,0.000,0.00,0.400,0.50,0.400,71.329
N. Wells,st,8,0.400,0.318,0.62,0.000,0.375,0.000,0.00,0.400,0.12,0.400,69.323
J. Simpson,rb,1,0.476,0.438,6.00,2.000,0.000,1.000,0.00,0.400,4.00,0.438,75.378
M. Targett,rb,2,0.483,0.450,7.00,1.500,0.500,0.596,1.50,0.500,7.50,0.438,76.932
J. Lolley,ram,5,0.387,0.440,3.20,0.000,0.600,0.705,0.00,0.400,1.40,0.353,73.151
H. Saivet,cdm,1,0.538,0.400,11.00,6.000,0.000,1.000,2.00,0.471,7.00,0.400,76.527
C. Chambers,cb,12,0.534,0.547,6.08,2.583,0.667,0.525,0.42,0.500,5.58,0.615,79.688
A. Dragović,lb,14,0.477,0.569,5.07,2.286,0.857,0.438,0.79,0.385,4.21,0.571,78.222
Y. Bolasie,ram,16,0.452,0.509,2.94,0.625,0.750,0.079,0.12,0.412,1.75,0.346,71.056
J. McCarthy,cm,8,0.471,0.355,6.62,0.875,1.375,0.508,0.88,0.409,5.00,0.471,77.103
J. Ngoy,rw,1,0.350,0.400,5.00,0.000,1.000,1.000,0.00,0.400,0.00,0.400,74.647
Adrien Silva,cam,20,0.411,0.373,6.55,0.150,1.000,0.300,0.55,0.346,2.95,0.333,74.219
A. Pritchard,cam,14,0.571,0.250,3.93,0.571,0.357,0.531,0.36,0.550,1.79,0.391,76.450
T. Kongolo,rb,16,0.636,0.683,8.00,2.750,0.562,0.699,1.62,0.537,5.56,0.732,87.885
S. Ireland,cm,4,0.393,0.375,3.25,0.000,0.250,0.000,0.25,0.375,1.25,0.375,72.847
M. Bauer,lb,15,0.449,0.491,8.20,1.333,1.267,0.394,0.67,0.480,3.87,0.421,78.840
C. Roberts,lb,4,0.562,0.444,4.25,1.500,0.000,0.671,0.75,0.444,2.00,0.412,76.856
C. Tosun,st,16,0.354,0.391,3.12,0.625,2.000,0.023,0.69,0.308,1.94,0.286,69.157
J. Sims,lam,6,0.414,0.462,2.33,0.000,0.167,0.126,0.00,0.400,1.50,0.421,71.965
S. Baldock,rw,1,0.400,0.400,0.00,0.000,0.000,1.000,0.00,0.400,0.00,0.400,74.378
R. Nelson,lam,3,0.478,0.375,2.67,0.000,0.000,0.622,0.00,0.400,3.33,0.300,74.218
W. Caballero,gk,5,0.375,0.444,0.20,0.400,0.000,1.000,0.00,0.400,1.20,0.400,72.790
Brahim Diaz,ram,5,0.368,0.353,0.80,0.000,0.200,0.000,0.00,0.400,0.40,0.400,70.870
M. Vorm,gk,1,0.400,0.438,0.00,1.000,0.000,1.000,0.00,0.400,3.00,0.400,74.533
M. Obafemi,st,1,0.438,0.375,1.00,0.000,0.000,1.000,0.00,0.400,0.00,0.400,74.542
S. Byram,lb,5,0.511,0.590,6.40,1.400,0.800,0.315,0.60,0.444,3.40,0.526,76.775
R. Oxford,lb,8,0.476,0.480,3.38,2.375,1.250,0.449,0.25,0.353,3.25,0.474,74.444
R. Barkley,lam,2,0.368,0.368,2.00,0.500,0.500,1.000,0.00,0.400,2.00,0.375,74.118
C. Hudson-Odoi,ram,2,0.400,0.400,0.00,0.000,0.000,1.000,0.00,0.400,0.00,0.400,73.861
S. Coleman,lb,16,0.546,0.509,6.50,1.062,0.625,0.710,0.19,0.333,4.44,0.524,78.465
F. Diabaté,rw,14,0.592,0.537,2.43,0.214,0.071,0.591,0.00,0.400,1.21,0.421,74.740
Kenedy,ram,13,0.495,0.317,6.77,0.615,1.231,0.741,0.46,0.429,3.62,0.207,77.235
A. Laporte,rb,28,0.500,0.682,4.89,2.357,1.071,0.460,0.43,0.481,4.86,0.667,79.424
Deulofeu,lw,17,0.500,0.300,3.00,0.294,0.765,0.332,0.12,0.353,1.35,0.381,71.350
B. N'Diaye,rcm,14,0.471,0.432,8.79,0.643,2.000,0.617,0.93,0.464,4.50,0.440,79.847
K. Stafylidis,rb,7,0.453,0.429,5.43,1.571,0.571,0.505,0.86,0.429,4.29,0.500,77.017
P. Aubameyang,st,29,0.466,0.418,2.00,0.241,0.621,0.341,0.07,0.353,1.79,0.214,69.061
D. Ospina,gk,9,0.400,0.609,0.00,0.111,0.000,1.000,0.00,0.400,1.22,0.400,72.168
A. Sørloth,rw,4,0.382,0.550,4.75,0.500,1.500,0.333,0.00,0.400,2.75,0.400,73.450
M. Dúbravka,gk,12,0.375,0.550,0.08,0.417,0.000,1.000,0.00,0.400,1.83,0.400,71.427
M. Carrick,cm,2,0.409,0.389,3.50,2.000,0.500,0.000,0.00,0.400,4.00,0.400,74.094
D. Lukebakio,lam,1,0.375,0.400,1.00,0.000,0.000,1.000,0.00,0.400,0.00,0.400,74.422
J. Locadia,lw,6,0.565,0.333,1.33,0.000,0.500,0.882,0.00,0.400,1.00,0.350,73.907
A. Wan-Bissaka,lb,7,0.586,0.528,10.29,2.714,0.286,0.663,2.57,0.576,9.00,0.474,82.929
