Player,PrimaryPosition,Games,pass_acc,through_acc,freekick_acc,assists_pg,avg_pg,consistency,turnover_rate,Rating
M. Pugh,ram,20,0.793,0.556,0.292,0.150,24.600,0.706,0.207,79.31
B. Afobe,st,15,0.818,0.000,0.000,0.000,8.067,0.651,0.182,76.97
J. Ibe,lam,32,0.791,0.381,0.444,0.188,22.250,0.883,0.209,79.72
J. Defoe,st,24,0.762,0.000,0.400,0.083,5.083,0.495,0.238,74.15
H. Robson-Kanu,lw,23,0.667,0.200,0.333,0.217,9.130,0.726,0.333,73.70
A. Smith,lb,27,0.829,0.091,0.529,0.185,34.074,0.887,0.171,82.02
R. Harper,ram,1,1.000,0.000,0.000,0.000,4.000,1.000,0.000,80.25
S. Prödl,cb,23,0.838,0.200,0.000,0.000,27.304,0.752,0.162,79.62
E. Capoue,cm,23,0.859,0.267,0.500,0.217,36.043,0.913,0.141,83.49
L. Mousset,rw,20,0.633,0.125,0.000,0.100,8.450,0.644,0.367,71.86
C. Kabasele,cb,28,0.808,0.125,0.500,0.000,30.643,0.891,0.192,79.95
B. Watson,cdm,8,0.830,0.000,0.000,0.000,28.750,0.697,0.170,79.49
G. Barry,cm,25,0.800,0.435,0.214,0.200,35.040,0.893,0.200,81.50
S. Rondón,st,35,0.724,0.316,0.368,0.143,19.229,0.787,0.276,75.96
A. Barnes,st,36,0.677,0.417,0.375,0.111,11.361,0.688,0.323,72.67
Joselu,st,30,0.760,0.286,1.000,0.133,15.533,0.810,0.240,77.52
M. Diamé,cm,30,0.851,0.333,0.667,0.067,25.233,0.790,0.149,81.12
J. Murphy,cam,25,0.673,0.333,0.385,0.160,12.240,0.668,0.327,73.69
M. Hefele,cb,2,0.733,0.000,0.000,0.000,7.500,0.700,0.267,78.94
I. Slimani,rw,15,0.743,0.400,0.000,0.200,9.867,0.632,0.257,76.51
A. Robertson,rb,22,0.842,0.318,0.244,0.318,67.864,0.917,0.158,86.71
R. Klavan,rb,18,0.931,0.286,1.000,0.056,62.778,0.957,0.069,87.42
D. Sturridge,st,18,0.815,0.353,0.700,0.222,13.222,0.701,0.185,79.18
D. Solanke,st,17,0.825,0.200,0.000,0.235,10.059,0.762,0.175,78.78
J. McArthur,cm,33,0.835,0.250,0.429,0.061,30.909,0.888,0.165,81.44
S. Kaikai,ram,1,0.333,0.000,0.000,0.000,6.000,1.000,0.667,78.46
J. Schlupp,rb,24,0.778,0.300,0.333,0.125,27.750,0.877,0.222,79.41
M. Holgate,lb,15,0.749,0.000,0.429,0.067,31.667,0.849,0.251,78.57
G. Sigurðsson,ram,35,0.776,0.250,0.414,0.314,26.400,0.900,0.224,80.32
S. Mustafi,cb,29,0.882,0.143,0.455,0.172,60.414,0.899,0.118,87.04
Jesé Rodríguez,rw,13,0.735,0.500,0.000,0.231,11.615,0.841,0.265,77.63
Ramadan Sobhi,ram,26,0.786,0.200,0.500,0.192,17.231,0.800,0.214,78.43
A. Iwobi,cam,29,0.867,0.395,0.476,0.207,40.138,0.923,0.133,84.80
B. Martins Indi,cb,17,0.812,0.000,0.667,0.118,21.000,0.853,0.188,79.51
Roque Mesa,cm,18,0.903,0.250,0.750,0.056,36.722,0.923,0.097,83.81
L. Narsingh,lam,18,0.814,0.000,0.562,0.222,11.333,0.818,0.186,78.86
Ander Herrera,lcm,26,0.884,0.267,0.200,0.115,39.385,0.865,0.116,83.87
V. Moses,lam,31,0.768,0.154,0.460,0.355,31.710,0.766,0.232,80.15
K. Trippier,lb,30,0.800,0.333,0.344,0.533,53.033,0.855,0.200,85.49
T. Bakayoko,rcm,28,0.879,0.167,0.500,0.036,37.429,0.895,0.121,83.39
Pedro,rw,32,0.810,0.316,0.296,0.125,21.688,0.871,0.190,79.66
