Player,PrimaryPosition,Games,LongPassAcc,LongthroughPassAcc,LongPassAssistsPerGame,FreeKickAcc,Consistency,TurnoverRate,Rating
A. Doucouré,cm,37,0.815,0.350,0.000,0.529,0.860,0.185,74.860
N. Amrabat,st,36,0.500,0.367,0.167,0.380,0.293,0.500,57.081
Gomes,gk,24,0.788,0.500,0.000,0.700,0.836,0.212,76.945
J. Henderson,cm,33,0.798,0.419,0.273,0.467,0.875,0.202,79.400
S. Mignolet,gk,19,0.792,0.500,0.000,0.700,0.859,0.208,76.813
G. Wijnaldum,cam,33,0.847,0.278,0.061,0.643,0.846,0.153,75.493
Roberto Firmino,st,41,0.669,0.429,0.024,0.389,0.609,0.331,67.354
Mohamed Salah,lw,38,0.697,0.333,0.079,0.487,0.657,0.303,67.974
S. Okaka,st,14,0.711,0.583,0.071,0.727,0.729,0.289,74.882
T. Cleverley,cm,23,0.739,0.364,0.087,0.500,0.762,0.261,71.882
R. Pereyra,cam,32,0.815,0.500,0.094,0.615,0.734,0.185,78.616
Kiko Femenía,lb,22,0.674,0.500,0.318,0.521,0.748,0.326,74.960
Richarlison,rw,38,0.579,0.370,0.000,0.429,0.464,0.421,60.134
A. Gray,st,26,0.657,0.571,0.038,0.750,0.311,0.343,69.101
J. Milner,cam,33,0.775,0.400,0.212,0.623,0.575,0.225,74.519
D. Origi,lw,32,0.667,0.417,0.062,0.500,0.499,0.333,67.041
J. Gomez,lb,23,0.761,0.333,0.217,0.564,0.820,0.239,74.369
J. Livermore,lcm,34,0.743,0.364,0.118,0.667,0.807,0.257,73.553
C. Brunt,rcm,26,0.683,0.415,0.269,0.568,0.691,0.317,72.647
C. Daniels,rb,35,0.617,0.435,0.171,0.288,0.758,0.383,68.659
A. Nyom,lb,29,0.656,0.538,0.172,0.494,0.658,0.344,72.563
A. Begović,gk,38,0.784,0.455,0.000,0.700,0.871,0.216,76.841
S. Cook,cb,34,0.759,0.400,0.000,0.643,0.790,0.241,73.228
S. Francis,lb,32,0.693,0.412,0.219,0.566,0.801,0.307,73.507
C. Yacob,cdm,16,0.727,0.417,0.000,0.636,0.770,0.273,71.959
B. Foster,gk,37,0.728,0.385,0.000,0.700,0.827,0.272,72.090
N. Aké,rb,38,0.846,0.474,0.000,0.562,0.862,0.154,79.531
A. Surman,cm,25,0.826,0.467,0.040,0.769,0.862,0.174,78.751
J. King,rw,33,0.685,0.440,0.242,0.500,0.679,0.315,72.668
R. Fraser,cam,26,0.642,0.440,0.154,0.538,0.599,0.358,69.131
Ahmed Hegazy,cb,41,0.746,0.312,0.049,0.571,0.816,0.254,71.213
H. Arter,cm,13,0.824,0.429,0.000,0.667,0.741,0.176,74.815
J. Rodriguez,st,37,0.630,0.529,0.054,0.406,0.538,0.370,67.947
J. McClean,ram,34,0.494,0.375,0.147,0.491,0.217,0.506,56.600
S. Field,rcm,10,0.657,0.455,0.100,0.692,0.632,0.343,70.758
M. Phillips,lam,30,0.574,0.500,0.233,0.439,0.616,0.426,68.442
C. Dawson,lb,28,0.680,0.381,0.107,0.639,0.799,0.320,70.935
M. Pugh,ram,20,0.627,0.500,0.000,0.412,0.732,0.373,69.054
B. Afobe,st,15,0.690,0.500,0.000,0.700,0.811,0.310,72.694
J. Ibe,lam,32,0.737,0.562,0.125,0.536,0.733,0.263,76.895
J. Defoe,st,24,0.649,0.500,0.000,0.600,0.338,0.351,66.641
H. Robson-Kanu,lw,23,0.506,0.412,0.130,0.500,0.211,0.494,59.530
A. Smith,lb,27,0.700,0.353,0.074,0.593,0.592,0.300,68.543
R. Harper,ram,1,0.636,0.500,0.000,0.700,1.000,0.364,71.850
S. Prödl,cb,23,0.767,0.462,0.000,0.700,0.707,0.233,74.080
E. Capoue,cm,23,0.774,0.375,0.217,0.643,0.810,0.226,75.894
L. Mousset,rw,20,0.556,0.462,0.000,0.583,0.317,0.444,62.655
C. Kabasele,cb,28,0.753,0.333,0.000,0.667,0.795,0.247,71.495
B. Watson,cdm,8,0.747,0.455,0.000,0.636,0.532,0.253,71.547
G. Barry,cm,25,0.726,0.467,0.160,0.417,0.813,0.274,74.770
S. Rondón,st,35,0.613,0.389,0.057,0.483,0.598,0.387,64.778
A. Barnes,st,36,0.532,0.412,0.028,0.556,0.216,0.468,57.468
Joselu,st,30,0.670,0.429,0.033,0.786,0.452,0.330,67.654
M. Diamé,cm,30,0.821,0.467,0.033,0.692,0.679,0.179,76.844
J. Murphy,cam,25,0.529,0.471,0.160,0.472,0.270,0.471,62.160
M. Hefele,cb,2,0.609,0.500,0.000,0.700,0.000,0.391,69.953
I. Slimani,rw,15,0.538,0.455,0.000,0.700,0.106,0.462,61.842
A. Robertson,rb,22,0.696,0.414,0.227,0.333,0.758,0.304,72.456
R. Klavan,rb,18,0.879,0.375,0.056,0.750,0.893,0.121,78.298
D. Sturridge,st,18,0.750,0.500,0.167,0.700,0.596,0.250,74.908
D. Solanke,st,17,0.674,0.455,0.118,0.636,0.495,0.326,69.960
J. McArthur,cm,33,0.742,0.421,0.030,0.588,0.680,0.258,72.093
S. Kaikai,ram,1,0.565,0.500,0.000,0.583,1.000,0.435,71.534
J. Schlupp,rb,24,0.608,0.471,0.042,0.480,0.556,0.392,66.579
M. Holgate,lb,15,0.650,0.333,0.067,0.588,0.708,0.350,68.127
G. Sigurðsson,ram,35,0.653,0.367,0.086,0.487,0.639,0.347,66.844
S. Mustafi,cb,29,0.836,0.286,0.069,0.571,0.891,0.164,75.375
Jesé Rodríguez,rw,13,0.623,0.500,0.000,0.467,0.549,0.377,68.306
Ramadan Sobhi,ram,26,0.636,0.462,0.000,0.583,0.608,0.364,67.654
A. Iwobi,cam,29,0.801,0.444,0.034,0.548,0.843,0.199,76.580
B. Martins Indi,cb,17,0.768,0.385,0.118,0.692,0.797,0.232,74.352
Roque Mesa,cm,18,0.864,0.429,0.056,0.714,0.881,0.136,78.640
L. Narsingh,lam,18,0.645,0.500,0.056,0.615,0.508,0.355,69.144
Ander Herrera,lcm,26,0.761,0.364,0.077,0.400,0.638,0.239,71.145
V. Moses,lam,31,0.631,0.412,0.129,0.500,0.579,0.369,67.166
K. Trippier,lb,30,0.675,0.321,0.433,0.377,0.715,0.325,71.948
T. Bakayoko,rcm,28,0.828,0.300,0.000,0.667,0.817,0.172,74.030
Pedro,rw,32,0.720,0.450,0.000,0.405,0.610,0.280,70.062
C. Kouyaté,lcm,36,0.696,0.444,0.028,0.647,0.649,0.304,70.471
M. Antonio,lw,21,0.516,0.312,0.143,0.535,0.156,0.484,58.093
João Mário,cam,38,0.760,0.348,0.132,0.457,0.708,0.240,72.345
W. Hoedt,rb,28,0.770,0.346,0.000,0.500,0.844,0.230,72.433
M. Lemina,cm,25,0.787,0.333,0.040,0.421,0.808,0.213,72.720
P. Højbjerg,cm,23,0.832,0.500,0.087,0.789,0.785,0.168,79.390
A. McCarthy,gk,18,0.748,0.500,0.000,0.700,0.789,0.252,74.583
S. Long,st,34,0.577,0.500,0.147,0.520,0.321,0.423,64.458
T. Mings,rb,4,0.697,0.417,0.000,0.727,0.810,0.303,71.664
D. Gosling,cm,27,0.750,0.312,0.000,0.625,0.796,0.250,70.791
B. Mendy,rb,8,0.613,0.500,0.500,0.519,0.710,0.387,73.371
M. Bešić,cdm,1,0.690,0.500,0.000,0.700,1.000,0.310,72.060
A. Lennon,lam,29,0.630,0.333,0.034,0.536,0.523,0.370,63.745
S. Clucas,rcm,29,0.778,0.294,0.000,0.619,0.700,0.222,70.531
M. van der Hoorn,lb,24,0.740,0.316,0.000,0.611,0.818,0.260,70.695
M. Kelly,lb,15,0.685,0.333,0.000,0.538,0.748,0.315,68.744
Lee Chung-Yong,cam,6,0.538,0.500,0.000,0.467,0.420,0.462,67.565
Y. Cabaye,cm,32,0.740,0.424,0.188,0.435,0.797,0.260,74.895
Àngel Rangel,lb,4,0.723,0.500,0.000,0.643,0.852,0.277,72.675
A. Sánchez,rw,31,0.678,0.295,0.258,0.545,0.760,0.322,70.138
L. Koscielny,cb,32,0.884,0.286,0.094,0.500,0.892,0.116,77.686
L. Karius,gk,19,0.832,0.500,0.000,0.700,0.883,0.168,78.425
F. Coquelin,cm,16,0.788,0.357,0.000,0.583,0.720,0.212,72.340
M. Grujić,rcm,3,0.625,0.500,0.000,0.700,0.717,0.375,71.162
A. King,cm,25,0.747,0.333,0.080,0.600,0.726,0.253,71.408
J. Collins,cb,14,0.704,0.385,0.000,0.700,0.814,0.296,71.161
M. Lanzini,ram,27,0.792,0.421,0.111,0.500,0.814,0.208,76.113
A. Mitrović,st,9,0.605,0.455,0.000,0.727,0.635,0.395,68.930
C. Wood,st,24,0.571,0.500,0.042,0.583,0.182,0.429,62.669
A. Westwood,cm,17,0.739,0.368,0.118,0.524,0.609,0.261,71.131
