eventName,subEventName,startX,startY,endX,endY,tags
Pass,Simple pass,66,22,77,17,1801
Duel,Ground attacking duel,76,48,85,64,"504, 703, 1801"
Shot,Shot,87,63,100,100,"402, 201, 1203, 1801"
Free Kick,Corner,100,100,88,84,1801
Pass,Simple pass,82,98,80,79,1801
Pass,Simple pass,58,18,76,12,1801
Pass,Simple pass,73,22,65,35,1801
Pass,Simple pass,41,21,28,32,1801
Pass,Simple pass,75,7,93,25,1801
Free Kick,Throw in,66,0,67,10,1801
Pass,Simple pass,69,2,62,18,1801
Pass,Simple pass,89,35,91,75,1802
Pass,Simple pass,33,15,35,8,1801
Pass,Smart pass,38,27,76,9,1801
Pass,Simple pass,70,14,75,22,1801
Pass,Simple pass,66,19,48,42,1801
Duel,Ground attacking duel,72,34,77,20,"503, 703, 1801"
Pass,Simple pass,77,20,95,26,1801
Offside,,75,16,100,100,
Duel,Ground attacking duel,52,29,49,57,"702, 1801"
Pass,High pass,49,57,58,93,1801
Pass,Simple pass,78,41,90,20,1801
Free Kick,Free kick shot,76,64,100,100,"402, 1101, 1216, 1802"
Duel,Ground loose ball duel,66,30,64,51,"701, 1802"
Others on the ball,Touch,63,13,68,34,
Duel,Ground attacking duel,73,49,72,48,"702, 1801"
Duel,Ground attacking duel,72,48,73,48,"502, 703, 1801"
Free Kick,Free kick shot,83,52,100,100,"101, 402, 1101, 201, 1208, 1801"
Pass,Simple pass,35,23,51,9,1801
Pass,Simple pass,47,6,44,10,1801
Pass,Simple pass,44,10,43,20,1801
Duel,Ground attacking duel,42,15,50,38,"501, 703, 1801"
Pass,Simple pass,50,38,58,45,1802
Others on the ball,Touch,42,21,70,12,
Pass,Simple pass,70,12,67,40,1801
Duel,Ground attacking duel,95,71,100,100,"702, 1801"
Pass,Simple pass,79,48,86,34,1802
Pass,Smart pass,68,26,87,21,1801
Free Kick,Corner,100,0,76,13,1801
Pass,Simple pass,81,12,77,23,1801
Duel,Ground attacking duel,94,28,100,34,"504, 701, 1802"
Free Kick,Corner,100,0,96,40,1801
Pass,Smart pass,42,22,84,16,1801
Others on the ball,Touch,87,40,69,31,
Duel,Ground attacking duel,66,9,75,23,"504, 703, 1801"
Duel,Ground attacking duel,75,23,69,36,"504, 701, 1802"
Pass,Simple pass,46,7,32,9,1801
Pass,Simple pass,43,20,39,39,1801
Pass,Simple pass,71,7,59,12,1801
Pass,Simple pass,58,33,54,54,1801
Pass,Simple pass,49,9,32,16,1801
Pass,Simple pass,60,30,61,67,1801
Pass,Simple pass,66,59,55,36,1801
Pass,High pass,72,18,94,73,1802
Free Kick,Corner,100,0,87,6,1801
Pass,Cross,93,29,96,50,"302, 401, 1801"
Pass,Simple pass,69,26,73,8,1801
Pass,Simple pass,69,33,60,77,1801
Pass,Simple pass,60,28,38,11,1801
Pass,Simple pass,72,6,69,16,1801
Pass,Smart pass,71,3,92,24,1801
Pass,Simple pass,48,29,48,58,1801
Pass,Simple pass,43,69,37,73,1801
Pass,High pass,53,57,74,70,"901, 1802"
Pass,Simple pass,71,9,62,21,1801
Duel,Ground attacking duel,59,22,59,28,"702, 1801"
Pass,Simple pass,59,28,46,47,1801
Pass,Simple pass,72,31,90,11,1801
Pass,Simple pass,62,2,48,17,1801
Duel,Ground attacking duel,60,19,67,13,"503, 703, 1801"
Pass,Simple pass,67,13,72,4,1801
Pass,High pass,68,12,78,74,1802
Pass,Simple pass,71,8,67,34,1801
Others on the ball,Touch,69,14,70,36,
Pass,High pass,70,36,89,36,1801
Pass,Simple pass,57,34,56,37,1801
Others on the ball,Acceleration,29,24,31,44,1801
Pass,Simple pass,31,44,47,46,1801
Pass,Simple pass,67,26,71,39,1801
Pass,Smart pass,62,31,90,28,"901, 1801"
Free Kick,Corner,100,0,81,10,1801
Pass,Smart pass,84,11,84,16,1802
Free Kick,Throw in,73,0,99,29,1801
Shot,Shot,87,30,100,100,"402, 2101, 1802"
Pass,Simple pass,29,11,32,32,"1901, 1802"
Pass,Simple pass,48,33,49,58,1801
Pass,Simple pass,62,72,56,48,1801
Pass,Simple pass,70,4,67,17,1801
Duel,Ground attacking duel,58,8,56,9,"504, 703, 1801"
Free Kick,Free Kick,62,19,69,2,1801
Pass,Simple pass,58,21,53,58,1801
Pass,Simple pass,70,33,71,45,1802
Others on the ball,Acceleration,64,8,62,9,1802
Pass,Smart pass,73,22,87,51,"901, 1802"
Pass,Simple pass,67,40,78,31,"1901, 1802"
Duel,Ground defending duel,69,16,69,7,"502, 703, 1801"
Duel,Ground attacking duel,69,7,70,0,"702, 1801"
Pass,Simple pass,69,12,74,10,1801
Pass,Simple pass,72,30,72,54,1801
Pass,Simple pass,70,33,67,28,1801
Pass,Simple pass,69,34,55,52,1801
Duel,Ground attacking duel,68,35,72,37,"504, 703, 1801"
Pass,Simple pass,72,37,72,44,1801
Duel,Ground attacking duel,80,25,81,22,"502, 703, 1801"
Free Kick,Free kick shot,81,25,100,100,"402, 1101, 2101, 1802"
Free Kick,Throw in,82,0,77,7,1801
Duel,Ground attacking duel,84,9,80,12,"501, 703, 1801"
Pass,Simple pass,80,12,80,14,1802
Duel,Ground defending duel,76,14,74,14,"503, 701, 1802"
Pass,Simple pass,72,15,71,26,1801
Free Kick,Corner,100,0,96,50,"801, 1801"
Duel,Ground attacking duel,67,22,71,29,"703, 1801"
Duel,Ground attacking duel,71,29,67,33,"503, 703, 1801"
Pass,Simple pass,88,43,87,44,1802
Pass,Smart pass,74,14,93,31,1801
Others on the ball,Touch,35,33,64,40,
Pass,High pass,64,40,99,97,1801
Pass,Simple pass,74,31,76,4,1801
Duel,Ground attacking duel,72,23,74,32,"501, 703, 1801"
Pass,Simple pass,74,32,80,36,1801
Shot,Shot,94,46,100,100,"402, 201, 1205, 1801"
Free Kick,Free Kick,96,19,86,31,1801
Duel,Ground attacking duel,63,72,66,69,"703, 1801"
Pass,Simple pass,66,69,66,39,1801
Pass,Simple pass,70,47,71,53,1801
