eventName,subEventName,startX,startY,endX,endY,tags
Duel,Ground defending duel,34,9,35,5,"702, 1801"
Pass,Simple pass,31,22,46,44,1801
Others on the ball,Clearance,19,17,12,0,1802
Others on the ball,Clearance,4,66,22,100,1802
Pass,Simple pass,18,28,6,53,1801
Pass,Simple pass,31,27,37,30,1801
Pass,Simple pass,29,27,41,7,1801
Duel,Air duel,37,39,37,5,"703, 1801"
Pass,Simple pass,6,30,8,24,1802
Free Kick,Free Kick,19,15,5,36,1801
Duel,Ground attacking duel,3,29,0,0,"702, 1801"
Pass,Simple pass,45,15,63,5,1801
Pass,Head pass,30,7,38,13,"1401, 1802"
Duel,Air duel,8,42,10,11,"703, 1801"
Pass,Simple pass,12,31,18,82,1801
Duel,Ground loose ball duel,29,60,34,63,"701, 1802"
Pass,Simple pass,19,19,34,5,1801
Pass,Simple pass,33,34,39,21,1801
Pass,Simple pass,20,33,36,46,1801
Others on the ball,Clearance,45,13,63,0,1802
Pass,Simple pass,22,34,39,52,1801
Pass,High pass,17,50,44,66,1801
Duel,Air duel,37,19,43,0,"703, 1801"
Duel,Air duel,43,34,57,42,"703, 1801"
Pass,Head pass,32,24,5,35,1801
Pass,Simple pass,12,8,4,68,1801
Others on the ball,Touch,28,54,10,52,1401
Pass,Simple pass,45,33,58,61,1801
Pass,Simple pass,38,14,19,35,1801
Pass,Simple pass,30,22,38,16,1801
Pass,Head pass,31,37,40,68,1801
Others on the ball,Clearance,12,47,12,31,"1401, 1802"
Pass,Simple pass,12,9,17,4,1801
Pass,Simple pass,11,32,28,42,1801
Pass,Simple pass,22,31,31,27,1801
Duel,Air duel,30,22,34,45,"703, 1801"
Duel,Ground loose ball duel,39,25,38,27,"703, 1801"
Pass,Simple pass,34,23,53,25,1801
Pass,Simple pass,39,17,56,11,1801
Pass,Simple pass,36,23,30,33,"2001, 1802"
Pass,Simple pass,28,25,34,11,1801
Pass,Simple pass,34,28,38,19,1801
Pass,Simple pass,34,18,53,55,1801
Pass,Simple pass,61,19,60,12,1801
Others on the ball,Clearance,7,33,0,34,1802
Others on the ball,Clearance,30,67,79,18,1802
Pass,Simple pass,27,43,26,21,1801
Pass,Simple pass,45,16,55,6,1801
Pass,Simple pass,53,14,66,10,1801
Duel,Ground defending duel,68,83,60,97,"504, 701, 1802"
Pass,Simple pass,44,15,51,46,1801
Pass,Simple pass,57,13,61,4,1801
Pass,Simple pass,39,20,23,31,1801
Duel,Air duel,89,66,87,87,"702, 1801"
Pass,Simple pass,42,17,56,14,1801
Pass,High pass,39,23,88,7,1801
Duel,Ground defending duel,35,48,54,56,"601, 702, 1801"
Pass,Simple pass,49,29,65,32,1801
Pass,Simple pass,41,14,58,11,1801
Pass,Simple pass,38,18,38,34,1801
Pass,Simple pass,47,14,66,22,1801
Pass,Simple pass,38,34,44,24,1801
Pass,Simple pass,42,28,35,40,1801
Pass,Simple pass,43,21,53,7,1801
Pass,Simple pass,41,18,32,30,1801
Pass,Simple pass,58,21,69,5,1801
Pass,Simple pass,61,16,71,8,1801
Pass,Simple pass,60,15,60,18,1801
Pass,Simple pass,46,9,37,29,1801
Duel,Ground defending duel,9,15,100,100,"702, 1801"
Duel,Ground defending duel,34,10,41,15,"702, 1801"
Others on the ball,Touch,34,24,30,9,1401
Pass,Simple pass,10,9,24,15,1801
Pass,Simple pass,30,46,38,89,1801
Shot,Shot,88,71,100,100,"403, 201, 1212, 1802"
Duel,Air duel,57,32,60,44,"703, 1801"
Pass,Simple pass,54,31,62,18,1801
Pass,Simple pass,61,43,59,27,1801
Duel,Ground defending duel,56,83,56,81,"701, 1802"
Foul,Foul,56,81,56,83,
Pass,Simple pass,37,20,39,15,1801
Pass,Simple pass,43,19,61,29,1801
Pass,High pass,16,30,42,12,1801
Pass,Simple pass,50,24,49,43,1801
Pass,Simple pass,54,25,60,22,1801
Pass,Simple pass,61,31,69,24,1801
Duel,Ground loose ball duel,57,17,55,19,"701, 1802"
Pass,Simple pass,57,15,69,15,1801
Pass,Simple pass,57,17,56,45,1801
Pass,Simple pass,31,11,7,73,1801
Pass,High pass,54,16,96,7,1801
Pass,Simple pass,27,36,11,51,1801
Pass,Simple pass,16,21,39,33,1801
Pass,Simple pass,39,25,47,17,1801
Pass,Simple pass,50,25,54,7,1801
Pass,Simple pass,58,14,55,42,1801
Pass,Simple pass,60,29,69,32,1801
Pass,Simple pass,61,25,76,34,1801
Duel,Ground defending duel,22,21,21,15,"701, 1802"
Duel,Air duel,8,56,0,100,"703, 1801"
Pass,Simple pass,28,22,27,46,1801
Pass,Simple pass,48,42,67,29,1801
Pass,Simple pass,59,32,45,45,1801
Pass,Simple pass,47,32,59,34,1801
Pass,Simple pass,57,22,65,11,1801
Pass,Simple pass,64,14,63,31,1801
Pass,Simple pass,69,27,61,36,1801
Pass,Simple pass,61,16,68,42,1801
Pass,Simple pass,63,32,80,16,1801
Pass,Simple pass,55,18,22,64,1801
Duel,Ground defending duel,11,27,9,16,"1901, 504, 703, 1801"
Pass,Simple pass,12,29,16,10,"1401, 1801"
Pass,Simple pass,69,52,69,70,1801
Pass,Simple pass,65,53,55,56,1801
Pass,Simple pass,68,43,75,14,1801
Pass,Simple pass,61,33,44,17,1801
Duel,Air duel,94,43,92,43,"703, 1801"
Shot,Shot,92,43,100,100,"403, 201, 1213, 1802"
Others on the ball,Acceleration,32,35,60,21,1801
Duel,Ground attacking duel,60,21,63,19,"502, 703, 1801"
Free Kick,Penalty,89,50,87,65,"402, 1203, 1802"
Pass,Simple pass,45,50,58,27,1801
Others on the ball,Touch,24,19,29,0,
Duel,Ground loose ball duel,5,35,6,34,"703, 1801"
Pass,High pass,6,16,28,98,1801
Duel,Air duel,90,51,89,50,"703, 1801"
Duel,Air duel,89,50,89,50,"703, 1801"
Shot,Shot,89,50,100,100,"403, 201, 1214, 1802"
Pass,High pass,32,18,63,16,1801
Duel,Air duel,34,43,48,55,"703, 1801"
Pass,Simple pass,42,16,61,16,1801
Pass,Simple pass,26,29,37,17,1801
Others on the ball,Touch,45,9,52,0,1302
Duel,Ground loose ball duel,7,12,7,14,"703, 1801"
Pass,Simple pass,25,32,29,22,1801
Pass,High pass,61,24,76,93,1801
Pass,Simple pass,36,29,31,61,1801
Pass,Simple pass,32,41,65,19,1801
Others on the ball,Touch,20,41,31,20,
Pass,Simple pass,31,43,51,13,1801
Pass,Simple pass,33,41,40,80,1801
Pass,Simple pass,32,64,29,77,1801
Others on the ball,Touch,10,53,10,53,1401
